Bearing	From	To	VD (Meter)	HD (Meter)	HA (Meter)	HD Error (Meter)	VD Error (Meter)	HA Error (Meter)
C1	C3	C1	-2.91893802	125.5821357	0	0.001965968944	0.01454385094	0.00001268757137
C1	C3	C2	-1.612692657	63.8560669	1.164191092	0.001912301881	0.007397359331	0.00002480599062
C1	C3	N	21.83403914	96.20708824	5.271481693	0.0027685602	0.009528739875	0.00001628238476
C1	C3	S	21.76218206	105.0543487	5.322483244	0.002790835653	0.01053892823	0.0000149768069
C1	C2	C1	-1.301465393	116.2130922	0	0.001941212675	0.01337073133	0.00001412332298
C1	C2	C3	1.61090655	63.85548498	4.834794132	0.001911900991	0.007191700765	0.00002504464048
C1	C2	N	23.45013916	142.5574172	5.423178196	0.002972201359	0.0147055712	0.00001169473301
C1	C2	S	23.37775649	148.9078414	5.478204187	0.002978512629	0.0154347395	0.00001125897698
C3	C1	C3	2.913064215	125.5823323	0	0.001964502624	0.01414760168	0.00001298899679
C3	C1	N	24.75682801	110.4973838	0.8301816152	0.002981544299	0.01096387862	0.00001450746165
C3	C1	S	24.68427582	108.1173499	0.9211736285	0.002969258688	0.01069853673	0.00001479943684
C3	C1	C2	1.307173454	116.2135061	5.754146195	0.001941009783	0.01318006316	0.00001397576136
C1	C3	C1	-2.916950438	125.584577	0	0.001965933497	0.01454398525	0.00001380202136
C1	C3	C2	-1.61339591	63.8584495	1.164192546	0.00191230986	0.007397682722	0.000009092680589
C1	C3	S	21.75962216	105.0572893	5.322499484	0.002790686662	0.0105394403	0.00001593177066
C1	C2	C1	-1.301042105	116.2142796	0	0.001941209618	0.01337083618	0.00001435497493
C1	C2	C3	1.611366129	63.85665761	4.834798618	0.001911905614	0.007191801384	0.00002517562675
C1	C2	S	23.37895694	148.9088604	5.478193036	0.002978598045	0.01543477053	0.00002843781306
C3	C2	C3	2.913146201	125.5847095	0	0.00196450541	0.01414786728	0.00001267052032
C3	C2	S	24.68523279	108.1195773	0.921275803	0.002969325933	0.01069872381	0.00001452063219
C3	C2	C2	1.306284672	116.2158947	5.754182676	0.001941003671	0.01318040062	0.00001368021783
