From	To	Easting (Meter)	Northing (Meter)	Height (Meter)	Easting Error (Meter)	"Northing Error (Meter)"	"Height Error (Meter)"
SA10	UCAL	-86.514626	66.454725	-0.39551	0.00015	0.0002	0.000361
UCAL	C2	-114.416154	92.689909	-23.091374	0.00286	0.00412	0.018254
SA10	C2	-200.929177	159.14287	-23.49048	0.00303	0.00432	0.019654
UCAL	C3	-50.662135	89.449326	-21.513451	0.00062	0.00089	0.003717
SA10	C3	-137.176737	155.902697	-21.911605	0.00067	0.00097	0.004072
UCAL	BASE	133.349422	-5.059367	-23.958158	0.00216	0.00316	0.02268
SA10	BASE	46.83511	61.393578	-24.374033	0.00152	0.00226	0.015588
BASE	C3	-184.006562	94.508637	2.448794	0.00261	0.00466	0.008329
BASE	C2	-247.780068	97.7482	0.793019	0.00785	0.00993	0.024719
UCAL	BASE	133.345528	-5.05827	-23.977082	0.00248	0.00379	0.029614
SA10	BASE	46.828714	61.395894	-24.378222	0.00252	0.00369	0.032624
ASCM1	BASE	657.248417	1322.573913	11.473403	0.00397	0.00574	0.049529
UCAL	ASCM1	-523.904738	-1327.629128	-35.52974	0.00158	0.00195	0.011738
SA10	ASCM1	-610.419422	-1261.174713	-35.924529	0.00153	0.00189	0.011387
ASCM1	BASE	657.256815	1322.564736	11.553046	0.0022	0.00357	0.017965
UCAL	ASCM1	-523.907625	-1327.62892	-35.531766	0.00074	0.00107	0.004394
SA10	ASCM1	-610.422595	-1261.174341	-35.929415	0.00072	0.00103	0.004352
ASCM1	BASE	657.256126	1322.5716	11.522631	0.00222	0.00354	0.028567
ASCM1	C3	473.249783	1417.075015	14.009479	0.00085	0.0012	0.005187
ASCM1	C2	409.501953	1420.320127	12.450564	0.00354	0.00491	0.025132
UCAL	ASCM1	-523.91303	-1327.628637	-35.526204	0.00056	0.00079	0.003471
SA10	ASCM1	-610.427548	-1261.174428	-35.923894	0.00053	0.00074	0.003337
ASCM1	C1	417.802167	1304.428583	11.088857	0.00116	0.00169	0.008189
BASE	C1	-239.452912	-18.14192	-0.475859	0.00428	0.00674	0.014167
C3	C1	-55.447298	-112.645117	-2.910963	0.0016	0.00233	0.003897
C1	C2	-8.300748	115.886278	1.317002	0.00357	0.00564	0.008202
UCAL	C1	-106.11239	-23.196834	-24.430842	0.00088	0.00134	0.005928
SA10	C1	-192.62658	43.256136	-24.832303	0.00087	0.00136	0.006012
ASCM1	C2	409.49556	1420.323823	12.395385	0.00375	0.00603	0.010693
BASE	C2	-247.760479	97.747431	0.837334	0.00448	0.0096	0.017046
C3	C2	-63.756404	3.242882	-1.607108	0.00306	0.00477	0.008113
UCAL	C2	-114.418379	92.691669	-23.120543	0.00309	0.00483	0.008205
SA10	C2	-200.931414	159.144435	-23.515329	0.00359	0.00535	0.009264
